Customer ID,Region,Acquisition Channel,Favourite Category,Order Frequency,Spend Band,Tenure (Months),Customer Segment,Recency Group,Churned,Churn Reason
CUST0001,Port Harcourt,Website,Home & Living,High,Low (< 50k),35,Bronze,Active (0-30 days),No,Still Active
CUST0002,Kano,Website,Electronics,Low,High (150k-300k),5,Silver,Active (0-30 days),Yes,Delivery Issues
CUST0003,Kano,Mobile App,Fashion,High,Premium (300k+),4,Platinum,Active (0-30 days),Yes,Poor Service
CUST0004,Kano,Website,Groceries,Medium,Medium (50k-150k),8,Gold,Dormant (90+ days),No,Still Active
CUST0005,Abuja,Mobile App,Beauty,High,Premium (300k+),24,Bronze,Active (0-30 days),No,Still Active
CUST0006,Kano,Mobile App,Beauty,Medium,High (150k-300k),35,Platinum,Dormant (90+ days),No,Still Active
CUST0007,Kano,Walk-in,Groceries,Medium,Medium (50k-150k),12,Silver,Dormant (90+ days),Yes,Found Alternative
CUST0008,Ibadan,Social Media,Sports,Medium,Medium (50k-150k),5,Bronze,At Risk (31-90 days),No,Still Active
CUST0009,Port Harcourt,Website,Home & Living,Medium,Low (< 50k),5,Gold,At Risk (31-90 days),No,Still Active
CUST0010,Kano,Walk-in,Beauty,High,High (150k-300k),6,Gold,Dormant (90+ days),No,Still Active
CUST0011,Lagos,Mobile App,Sports,High,High (150k-300k),29,Gold,Dormant (90+ days),No,Still Active
CUST0012,Port Harcourt,Mobile App,Home & Living,Medium,Medium (50k-150k),8,Platinum,At Risk (31-90 days),Yes,Found Alternative
CUST0013,Enugu,Website,Home & Living,Medium,Premium (300k+),32,Bronze,Dormant (90+ days),Yes,Delivery Issues
CUST0014,Port Harcourt,Website,Home & Living,High,High (150k-300k),27,Gold,Dormant (90+ days),No,Still Active
CUST0015,Abuja,Website,Electronics,Medium,Medium (50k-150k),15,Bronze,Dormant (90+ days),No,Still Active
CUST0016,Abuja,Social Media,Groceries,Low,Medium (50k-150k),35,Gold,At Risk (31-90 days),No,Still Active
CUST0017,Abuja,Referral,Beauty,High,Premium (300k+),4,Platinum,Dormant (90+ days),No,Still Active
CUST0018,Kano,Walk-in,Home & Living,Medium,High (150k-300k),31,Platinum,At Risk (31-90 days),Yes,Price
CUST0019,Ibadan,Website,Electronics,Medium,Premium (300k+),7,Bronze,Dormant (90+ days),No,Still Active
CUST0020,Lagos,Social Media,Beauty,Low,Low (< 50k),14,Platinum,At Risk (31-90 days),Yes,Found Alternative
CUST0021,Kano,Social Media,Home & Living,Low,Medium (50k-150k),32,Platinum,At Risk (31-90 days),No,Still Active
CUST0022,Lagos,Website,Electronics,High,High (150k-300k),17,Platinum,At Risk (31-90 days),No,Still Active
CUST0023,Kano,Mobile App,Fashion,High,High (150k-300k),35,Bronze,At Risk (31-90 days),No,Still Active
CUST0024,Enugu,Mobile App,Sports,High,Medium (50k-150k),24,Silver,At Risk (31-90 days),No,Still Active
CUST0025,Kano,Referral,Beauty,Medium,Premium (300k+),13,Silver,At Risk (31-90 days),No,Still Active
